08.20;0600;2000
08.21;0600;2000
08.22;0600;2000
08.23;0610;1940
08.24;0610;1940
08.25;0610;1940
08.26;0610;1940
08.27;0610;1940
08.28;0610;1940
08.29;0610;1940
08.30;0620;1930
08.31;0620;1930
09.01;0620;1930
09.02;0620;1930
09.03;0620;1930
09.04;0630;1925
09.05;0630;1925
09.06;0630;1925
09.07;0630;1925
09.08;0630;1925
09.09;0630;1925
09.10;0640;1915
09.11;0640;1915
09.12;0640;1915
09.13;0640;1915
09.14;0640;1915
09.15;0640;1915
09.16;0640;1915
09.17;0640;1915
09.18;0640;1915
09.19;0640;1915
09.20;0700;1910
09.21;0700;1910
09.22;0700;1910
09.23;0700;1910
09.24;0700;1910
09.25;0700;1910
09.26;0700;1910
09.27;0700;1910
09.28;0700;1910
09.29;0700;1910
09.30;0715;1840
10.01;0715;1840
10.02;0715;1840
10.03;0715;1840
10.04;0715;1840
10.05;0715;1840
10.06;0715;1840
